cur_index, vanilla, stacked, bidirectional, all_models, no_models
215,1038259.7996984686,1040289.8510623401,1042145.8767198657,1055165.5571359296,1058818.834552749
216,1038259.7996984686,1040289.8510623401,1042145.8767198657,1055165.5571359296,1058769.5624864476
217,1039409.186007826,1040241.4412410924,1042097.3805285835,1055116.4550746575,1059990.9803614167
218,1039761.568643924,1041794.556332689,1043299.5650389192,1056333.6586513978,1060350.3406796898
219,1039958.6234098325,1041991.996388769,1043653.2665993031,1056691.7790569565,1060551.297412911
220,1039958.6234098325,1042469.8933431513,1043851.0589166394,1056892.0424225577,1061037.7063649532
221,1040435.5877824319,1041817.1609186435,1044329.8085074365,1057376.7731018097,1060373.3478842024
222,1039784.1291186429,1041817.1609186435,1043675.911515067,1056714.7068789552,1060233.4722249086
223,1039646.96941836,1041817.1609186435,1043538.2384431215,1056575.3138372449,1059658.4957156717
224,1039083.1572006034,1041817.1609186435,1042972.3159465075,1056002.3211883511,1059609.2236493703
225,1039034.8418476654,1041817.1609186435,1042923.8197552254,1055953.219127079,1064544.9816298669
226,1043889.5365668477,1041817.1609186435,1047781.8555777887,1060871.9470996305,1064560.0482947691
227,1043889.5365668477,1041831.9059132878,1047796.6849916517,1060886.9617795236,1065353.2878415068
228,1044533.8078227616,1042474.9072337929,1048577.4335917963,1061677.464385788,1065217.0770466486
229,1044533.8078227616,1042474.9072337929,1048443.3676745745,1061541.7235635112,1066841.2228023792
230,1044533.8078227616,1042474.9072337929,1050041.9384095215,1063160.2654757726,1065723.0319423475
231,1044533.8078227616,1041382.2554987773,1048941.3554238966,1062045.9327464083,1064654.520355777
232,1044533.8078227616,1040338.1483783545,1047889.6694245231,1060981.107880475,1064108.048347706
233,1044533.8078227616,1039975.4564422778,1047351.8025757582,1060436.5213827302,1064283.3510298778
234,1044533.8078227616,1039975.4564422778,1047524.3448100304,1060611.2192122976,1064768.945567601
235,1045169.6521741598,1040449.9601545888,1048002.292810889,1061095.1382872309,1064931.2176206682
236,1045416.4365154472,1040608.5259653695,1048409.5004996709,1061256.8504477013,1065182.6680416695
237,1045416.4365154472,1040854.2333384111,1049243.5548307288,1061507.4332810526,1066030.0661406228
238,1046248.1097368549,1041682.2771332281,1049243.5548307288,1062351.9075745002,1066322.2372775758
239,1046534.8591536545,1041967.7751739688,1049531.1252211826,1062643.0706237787,1067638.5344207122
240,1052453.88666238,1043254.0085073402,1050826.694959359,1063954.8261036298,1072353.1789135917
241,1052453.88666238,1047860.972013535,1055467.0991136066,1068653.2035036958,1069107.3306450874
242,1049268.2704933074,1044689.2578912446,1052272.3624135281,1065418.5544921285,1067328.8533759
243,1047522.7958203147,1042951.400479489,1050521.8903852266,1063646.2135615025,1065699.0067199362
244,1045923.1936729412,1041358.7790048348,1048917.7085207095,1062021.990419011,1064643.32215889
245,1044887.099090289,1040327.2059447373,1047878.6475628682,1060969.9483210952,1062787.4755293948
246,1043672.3606200975,1038513.7462643535,1046660.4312537616,1059120.504980207,1063405.6159975405
247,1043971.8988610609,1039415.9996544293,1046960.827083232,1060040.6613763592,1063710.817763598
248,1043971.8988610609,1039415.9996544293,1046960.827083232,1060040.6613763592,1062393.2989989829
249,1042678.8288428657,1039688.9636348446,1047235.7724321536,1058727.6884900306,1063990.161875026
250,1044246.0592790742,1039688.9636348446,1047235.7724321536,1060319.0416576208,1064316.742016958
251,1044218.0837262156,1040008.084789791,1047207.7167843044,1060644.494989358,1063961.6573738598
252,1044218.0837262156,1039661.1101674553,1047207.7167843044,1060290.6355064716,1064944.2482497727
253,1044218.0837262156,1040426.0857539694,1047207.7167843044,1061070.7901576746,1064744.51313803
254,1044218.0837262156,1040426.0857539694,1047207.7167843044,1061070.7901576746,1064006.857368566
255,1044218.0837262156,1040426.0857539694,1047207.7167843044,1061070.7901576746,1063651.9763290477
256,1044218.0837262156,1040426.0857539694,1047207.7167843044,1061070.7901576746,1062465.1710626376
257,1044218.0837262156,1040426.0857539694,1047207.7167843042,1061070.7901576746,1063078.8322520286
258,1044218.0837262156,1040426.0857539694,1047207.7167843042,1061070.7901576746,1062485.735024193
259,1044218.0837262156,1040426.0857539694,1046623.4741346064,1061070.7901576746,1061398.0847011253
260,1044218.0837262156,1040426.0857539694,1045552.0617643057,1061070.7901576746,1063709.5961421193
261,1044218.0837262156,1040426.0857539694,1047829.0637560737,1061070.7901576746,1064293.327605286
262,1044218.0837262156,1040426.0857539694,1048404.0804662295,1061070.7901576746,1063778.006944918
263,1044218.0837262156,1040426.0857539694,1047896.4532275116,1061070.7901576746,1063467.5114857869
264,1044218.0837262156,1040426.0857539694,1047590.593275301,1061070.7901576746,1062075.8810181401
